ID PinchLargeTime PinchSmallTime PinchLargeHit PinchSmallHit PinchLargeDist PinchSmallDist PinchLargeXDist PinchSmallXDist PinchLargeYDist PinchSmallYDist SwipeLargeTime SwipeSmallTime SwipeLargeHit SwipeSmallHit SwipeLargeDist SwipeSmallDist SwipeLargeXDist SwipeSmallXDist SwipeLargeYDist SwipeSmallYDist ThrowLargeTime ThrowSmallTime ThrowLargeHit ThrowSmallHit ThrowLargeDist ThrowSmallDist ThrowLargeXDist ThrowSmallXDist ThrowLargeYDist ThrowSmallYDist TiltLargeTime TiltSmallTime TiltLargeHit TiltSmallHit TiltLargeDist TiltSmallDist TiltLargeXDist TiltSmallXDist TiltLargeYDist TiltSmallYDist
12 5 5 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 9 8 0 1 4.29999999999995 0 4.29999999999995 0 0 0
12 5 8 1 1 0 0 0 0 0 0 6 10 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 2 6 0 0 718.678126841217 14.8932870784122 618.5 14.5 366 3.4
12 6 7 0 1 582.521767833615 0 318.1 0 488 0 4 7 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 8 6 1 0 0 4.39999999999998 0 4.39999999999998 0 0
12 4 4 1 1 0 0 0 0 0 0 4 8 1 1 0 0 0 0 0 0 8 6 1 1 0 0 0 0 0 0 6 7 1 0 0 30.3 0 30.3 0 0
12 5 4 1 0 0 73.6565000526091 0 11.2 0 72.8 5 6 1 1 0 0 0 0 0 0 7 13 1 1 0 0 0 0 0 0 2 9 0 1 957.305724416187 0 949.5 0 122 0
12 5 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 4 1 1 0 0 359.9 0 0 0 359.9
13 5 7 1 0 0 11.6 0 11.6 0 0 7 5 1 1 0 0 0 0 0 0 11 7 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0
13 3 7 0 1 163.1 0 163.1 0 0 0 4 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0
13 3 3 0 0 121.19278031302 178.307178767429 98 29.2 71.3 175.9 4 4 1 1 0 0 0 0 0 0 7 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0
13 8 5 1 0 0 259.580064719924 0 184.1 0 183 3 4 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0
13 5 5 1 0 0 1 0 1 0 1 4 4 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 5 5 0 0 1016.50031480566 731.552458816181 891.7 545 488 488
13 4 3 1 0 0 351.562938888615 0 134.3 0 324.9 9 7 1 1 0 0 0 0 0 0 6 5 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
13 2 5 0 1 335.932746245435 0 230.9 0 244 0 3 4 1 0 0 13.7 0 13.7 0 0 4 9 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
13 5 7 1 1 0 0 0 0 0 0 4 5 1 0 0 488 0 0 0 488 7 6 1 0 0 1.8 0 1.8 0 0 3 6 1 1 0 0 0 0 0 0
13 4 7 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0
14 13 11 1 0 0 63.131687764545 0 63.1 0 2 12 19 1 0 0 17.5999999999999 0 17.5999999999999 0 0 5 7 1 0 0 17.8 0 17.8 0 0 6 1 1 0 0 274.605189317318 0 7.60000000000002 0 274.5
14 5 10 0 0 61 132.401850440241 61 36.4 0 127.3 12 1 1 0 0 813.699827946399 0 812.1 0 51 45 6 1 0 0 5.59999999999999 0 5.59999999999999 0 0 6 10 1 0 0 3.30000000000001 0 0 0 3.30000000000001
14 15 11 1 0 0 33.5999999999999 0 33.5999999999999 0 0 6 15 1 1 0 0 0 0 0 0 5 8 0 0 731.760356947546 21 728.1 21 73.1 0 7 6 1 1 0 0 0 0 0 0
14 6 7 1 1 0 0 0 0 0 0 4 8 1 1 0 0 0 0 0 0 4 7 1 0 0 1.09999999999999 0 1.09999999999999 0 0 5 6 1 0 0 8.09999999999999 0 8.09999999999999 0 0
14 5 6 1 1 0 0 0 0 0 0 5 18 1 1 0 0 0 0 0 0 12 8 1 0 0 0.800000000000011 0 0.800000000000011 0 0 4 4 1 1 0 0 0 0 0 0
14 5 6 0 1 42.6 0 0 0 42.6 0 5 6 1 1 0 0 0 0 0 0 9 7 1 1 0 0 0 0 0 0 7 5 0 1 1 0 1 0 1 0
14 5 6 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 5 5 1 0 0 11.8 0 11.8 0 0 5 9 1 0 0 3.7 0 3.7 0 0
14 4 5 0 1 154.8 0 154.8 0 0 0 5 5 1 1 0 0 0 0 0 0 4 5 1 0 0 786.954897055733 0 785.1 0 54 5 2 0 0 0.199999999999989 190.559098444551 0.199999999999989 150.1 0 117.4
14 5 7 1 0 0 20.7 0 20.7 0 0 4 3 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 4 7 1 0 0 5.31601354400083 0 5.10000000000002 0 1.5
15 7 7 1 0 0 2.60000000000002 0 2.60000000000002 0 0 3 5 1 1 0 0 0 0 0 0 10 7 1 1 0 0 0 0 0 0 14 19 1 1 0 0 0 0 0 0
15 22 19 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 11 23 1 1 0 0 0 0 0 0 14 1 1 0 0 612.541957746569 0 550.9 0 267.8
15 50 6 0 1 778.7 0 778.7 0 0 0 4 4 1 1 0 0 0 0 0 0 8 7 1 1 0 0 0 0 0 0 1 13 0 0 310.382280422063 8.10000000000002 285.4 0 122 8.10000000000002
15 22 16 1 0 0 100.623704960611 0 63.2 0 78.3 2 5 1 1 0 0 0 0 0 0 7 18 1 1 0 0 0 0 0 0 2 9 0 1 510.298197135753 0 495.5 0 122 0
15 5 7 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 6 7 1 1 0 0 0 0 0 0 2 9 0 1 331.905106920638 0 225 0 244 0
15 3 6 0 1 243.559027753027 0 192.2 0 149.6 0 4 5 1 1 0 0 0 0 0 0 6 9 1 1 0 0 0 0 0 0 5 5 1 0 0 3 0 3 0 0
15 7 6 0 1 189.70766985022 0 122.8 0 144.6 0 4 4 1 0 0 18.3 0 0 0 18.3 5 6 1 1 0 0 0 0 0 0 5 2 1 0 0 526.558220902494 0 350 0 393.4
15 3 6 0 1 91.9 0 91.9 0 0 0 7 8 1 0 0 7.79999999999995 0 7.79999999999995 0 0 6 9 1 1 0 0 0 0 0 0 1 5 0 0 387.3 14.3951380681117 387.3 2.90000000000001 0 14.1
15 5 7 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 6 7 1 0 0 0.399999999999977 0 0.399999999999977 0 0 5 8 1 1 0 0 0 0 0 0
16 5 26 0 0 402.54907775326 519.496775735904 167.6 343.3 366 389.9 4 4 1 1 0 0 0 0 0 0 10 7 0 1 5.80000000000001 0 5.80000000000001 0 0 0 22 22 1 1 0 0 0 0 0 0
16 13 7 0 0 269.1 415.131593594128 269.1 396.8 0 122 4 4 1 1 0 0 0 0 0 0 8 5 0 1 135 0 135 0 0 0 5 6 1 1 0 0 0 0 0 0
16 16 3 1 0 0 305 0 0 0 305 4 4 1 1 0 0 0 0 0 0 5 7 1 1 0 0 0 0 0 0 6 13 1 1 0 0 0 0 0 0
16 5 5 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 6 9 1 0 0 6.5 0 6.5 0 0
16 11 7 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0
16 4 13 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 10 1 1 0 0 0 0 0 0
16 5 2 1 0 0 277.798200138158 0 132.8 0 244 4 3 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
16 6 6 0 1 445.787225030058 0 254.5 0 366 0 3 5 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 7 8 1 1 0 0 0 0 0 0
16 7 7 0 1 397.273520386144 0 154.5 0 366 0 4 4 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 3 5 1 0 0 1.30000000000001 0 0 0 1.30000000000001
17 8 9 1 0 0 10 0 0 0 10 4 4 1 1 0 0 0 0 0 0 4 15 1 1 0 0 0 0 0 0 8 10 1 1 0 0 0 0 0 0
17 7 20 1 1 0 0 0 0 0 0 6 5 1 1 0 0 0 0 0 0 4 1 1 0 0 163.062932636452 0 84.6 0 139.4 8 5 0 0 8.39999999999998 23.7 8.39999999999998 23.7 0 0
17 6 5 0 0 482.822959271823 597.819002709014 314.9 418.4 366 427 3 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 11 7 1 1 0 0 0 0 0 0
17 6 6 1 0 0 61.1 0 61.1 0 0 4 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 1 6 0 1 474.791069840198 0 440 0 178.4 0
17 8 6 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 7 3 1 0 0 1 0 1 0 0 7 8 1 1 0 0 0 0 0 0
17 7 10 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
17 3 7 0 1 357.218154633832 0 260.9 0 244 0 3 4 1 1 0 0 0 0 0 0 5 3 1 0 0 11.591807451817 0 2.10000000000002 0 11.4 5 29 1 0 0 58.0538543078752 0 47.9 0 32.8
17 5 7 1 0 0 13.7931142241337 0 1.60000000000002 0 13.7 4 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 7 17 1 0 0 5 0 0 0 5
17 6 8 0 1 19.4 0 19.4 0 0 0 2 3 0 1 4.69999999999999 0 4.69999999999999 0 0 0 5 3 1 0 0 7.69999999999999 0 0 0 7.69999999999999 7 7 1 1 0 0 0 0 0 0
18 7 10 1 0 0 127.662680529589 0 37.6 0 122 3 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0
18 10 10 0 0 366 217.151122493069 0 116.9 366 183 3 3 1 0 0 1 0 1 0 1 6 3 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0
18 6 6 1 0 0 242.918854764302 0 184.6 0 157.9 3 5 1 1 0 0 0 0 0 0 3 4 1 0 0 14.1 0 14.1 0 0 2 4 0 1 291.73347425347 0 275.1 0 97.1 0
18 16 5 1 0 0 32.9 0 32.9 0 0 2 3 1 1 0 0 0 0 0 0 4 5 1 0 0 5.39999999999998 0 5.39999999999998 0 0 3 11 1 1 0 0 0 0 0 0
18 4 3 1 0 0 5.19999999999999 0 0 0 5.19999999999999 3 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 4 2 1 0 0 211.88282138956 0 44.3 0 207.2
18 5 5 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
18 8 10 1 0 0 514.571676251229 0 499.9 0 122 3 3 1 0 0 8.09999999999999 0 8.09999999999999 0 0 4 4 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
18 7 16 0 1 256.255517013781 0 78.3 0 244 0 4 4 1 1 0 0 0 0 0 0 2 5 0 1 72.488688772801 0 20.6 0 69.5 0 5 5 1 0 0 20.4 0 0 0 20.4
18 10 5 1 1 0 0 0 0 0 0 2 3 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
19 5 5 1 0 0 45.1 0 0 0 45.1 5 4 1 1 0 0 0 0 0 0 5 9 1 1 0 0 0 0 0 0 9 10 1 1 0 0 0 0 0 0
19 12 5 1 0 0 39.716621205737 0 19.5 0 34.6 4 4 1 1 0 0 0 0 0 0 9 12 1 1 0 0 0 0 0 0 11 2 1 0 0 851.095494054574 0 807.3 0 269.5
19 4 4 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 9 5 1 1 0 0 0 0 0 0
19 5 5 1 1 0 0 0 0 0 0 2 6 1 1 0 0 0 0 0 0 5 8 1 1 0 0 0 0 0 0 4 4 1 0 0 4.89999999999998 0 0 0 4.89999999999998
19 3 5 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0
19 3 4 1 0 0 17.5 0 17.5 0 0 5 3 1 1 0 0 0 0 0 0 5 10 1 1 0 0 0 0 0 0 3 5 0 1 196.409190212678 0 61.9 0 186.4 0
19 4 5 1 1 0 0 0 0 0 0 3 3 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
19 4 5 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 4 7 1 1 0 0 0 0 0 0
19 4 4 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0 6 6 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
2 4 32 0 1 634.551306042309 0 405.6 0 488 0 7 4 1 1 0 0 0 0 0 0 6 22 1 1 0 0 0 0 0 0 1 1 0 0 136.044257504681 659.286652375126 60.2 443.3 122 488
2 8 7 1 1 0 0 0 0 0 0 6 1 1 0 0 307.032001589411 0 95.2 0 291.9 60 13 1 1 0 0 0 0 0 0 26 14 1 1 0 0 0 0 0 0
2 7 7 1 1 0 0 0 0 0 0 5 3 1 1 0 0 0 0 0 0 9 11 1 1 0 0 0 0 0 0 5 2 1 0 0 374.6 0 0 0 374.6
2 5 6 1 1 0 0 0 0 0 0 10 7 1 1 0 0 0 0 0 0 7 14 1 1 0 0 0 0 0 0 4 4 1 1 0 0 0 0 0 0
2 5 6 1 1 0 0 0 0 0 0 4 9 1 1 0 0 0 0 0 0 7 8 1 1 0 0 0 0 0 0 6 4 1 0 0 60.1040764008566 0 52.7 0 28.9
2 5 6 0 1 135.150878650492 0 134 0 17.6 0 11 16 1 1 0 0 0 0 0 0 16 3 0 0 155.4 41.6601728272939 155.4 19.9 0 36.6 8 2 1 0 0 160 0 160 0 0
2 5 12 0 1 33.2 0 33.2 0 0 0 4 6 1 1 0 0 0 0 0 0 6 10 1 1 0 0 0 0 0 0 5 5 1 0 0 14.7597425451801 0 6.79999999999995 0 13.1
2 5 5 1 1 0 0 0 0 0 0 17 4 1 1 0 0 0 0 0 0 4 8 1 0 0 6.5 0 6.5 0 0 1 7 0 0 563.240277323985 6.90000000000001 551.5 0 114.4 6.90000000000001
2 5 7 1 1 0 0 0 0 0 0 7 8 1 1 0 0 0 0 0 0 4 11 1 1 0 0 0 0 0 0 4 5 1 0 0 5.5 0 0 0 5.5
20 6 6 1 0 0 55.5676164685871 0 32.5999999999999 0 45 5 6 1 1 0 0 0 0 0 0 5 10 1 0 0 9.89999999999998 0 9.89999999999998 0 0 8 6 0 1 119.9 0 0 0 119.9 0
20 9 8 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 5 5 1 0 0 18.3 0 18.3 0 0 4 5 1 1 0 0 0 0 0 0
20 8 5 1 0 0 211.5 0 0 0 211.5 4 3 1 1 0 0 0 0 0 0 5 7 1 1 0 0 0 0 0 0 3 3 1 1 0 0 0 0 0 0
20 4 8 0 1 214.126901626115 0 213.3 0 18.8 0 4 5 1 1 0 0 0 0 0 0 4 5 1 0 0 1 0 1 0 1 2 4 0 0 95.7 1 0 1 95.7 1
20 5 7 1 0 0 441.8 0 441.8 0 0 4 11 1 1 0 0 0 0 0 0 4 3 1 1 0 0 0 0 0 0 5 6 1 0 0 14.9 0 0 0 14.9
20 13 6 1 1 0 0 0 0 0 0 3 4 1 1 0 0 0 0 0 0 3 5 1 0 0 1 0 1 0 1 6 2 1 0 0 150 0 0 0 150
